path,filename,source_split,disk_class,label,phash,dup_group,split
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1.jpg,Tr-gl_1.jpg,Training,glioma,glioma,14996471265034005856,0,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_10.jpg,Tr-gl_10.jpg,Training,glioma,glioma,13875145756107156524,1,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_100.jpg,Tr-gl_100.jpg,Training,glioma,glioma,13848053441829810834,2,cal
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1000.jpg,Tr-gl_1000.jpg,Training,glioma,glioma,13872910156885142892,3,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1001.jpg,Tr-gl_1001.jpg,Training,glioma,glioma,10649725111212881468,4,test
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1002.jpg,Tr-gl_1002.jpg,Training,glioma,glioma,10622422180212126603,5,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1003.jpg,Tr-gl_1003.jpg,Training,glioma,glioma,10910368379984622688,6,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1004.jpg,Tr-gl_1004.jpg,Training,glioma,glioma,14068168681692030523,7,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1005.jpg,Tr-gl_1005.jpg,Training,glioma,glioma,14081961844613002189,3358,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1006.jpg,Tr-gl_1006.jpg,Training,glioma,glioma,10478585919499085616,8,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1007.jpg,Tr-gl_1007.jpg,Training,glioma,glioma,10839999038646268954,9,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1008.jpg,Tr-gl_1008.jpg,Training,glioma,glioma,11405762526381795219,10,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1009.jpg,Tr-gl_1009.jpg,Training,glioma,glioma,13837994989319960884,11,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_101.jpg,Tr-gl_101.jpg,Training,glioma,glioma,10766482922105156486,12,val
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1010.jpg,Tr-gl_1010.jpg,Training,glioma,glioma,10398316971566637924,13,test
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1011.jpg,Tr-gl_1011.jpg,Training,glioma,glioma,13837920136389276780,3576,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1012.jpg,Tr-gl_1012.jpg,Training,glioma,glioma,15081994441124687133,14,test
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1013.jpg,Tr-gl_1013.jpg,Training,glioma,glioma,10564945321512478308,15,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1014.jpg,Tr-gl_1014.jpg,Training,glioma,glioma,9676035533241215033,16,train
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1015.jpg,Tr-gl_1015.jpg,Training,glioma,glioma,15353415482970298676,17,val
/kaggle/input/datasets/masoudnickparvar/brain-tumor-mri-dataset/Training/glioma/Tr-gl_1016.jpg,Tr-gl_1016.jpg,Training,glioma,glioma,10850909569859269101,18,train
